DATE;TIME;VOLUME;OPEN;CLOSE;MIN;MAX
06-05-1997;00:00:01;0;3563,1;3568,3;3558,3;3584,6
07-05-1997;00:00:01;0;3556,9;3552;3543,7;3559,7
09-05-1997;00:00:01;0;3556,1;3562,4;3551,9;3565,1
12-05-1997;00:00:01;0;3548;3575,4;3542,6;3576
13-05-1997;00:00:01;0;3588,2;3595,2;3581;3597,4
14-05-1997;00:00:01;0;3586;3573,7;3573,7;3586
15-05-1997;00:00:01;0;3570,7;3562,1;3554,8;3570,7
16-05-1997;00:00:01;0;3590,2;3604,6;3590,2;3606,8
20-05-1997;00:00:01;0;3557,4;3543,4;3533,7;3557,4
21-05-1997;00:00:01;0;3572,1;3596,1;3567,4;3597
22-05-1997;00:00:01;0;3610,1;3579,4;3576,2;3618,2
23-05-1997;00:00:01;0;3586,6;3602,2;3584,3;3605,3
26-05-1997;00:00:01;0;3613;3657,9;3613;3661
27-05-1997;00:00:01;0;3668,8;3674,4;3664,4;3678,5
28-05-1997;00:00:01;0;3680,6;3636,4;3632,3;3695,3
30-05-1997;00:00:01;0;3618;3562,7;3544,2;3618
02-06-1997;00:00:01;0;3551;3596,4;3544,5;3618,2
03-06-1997;00:00:01;0;3603;3655,6;3603;3655,8
04-06-1997;00:00:01;0;3659,5;3651,6;3644;3669,6
05-06-1997;00:00:01;0;3650,6;3684,6;3650,5;3690,9
06-06-1997;00:00:01;0;3690,1;3700,5;3681,2;3707,7
09-06-1997;00:00:01;0;3717,1;3668,6;3662,1;3734,1
10-06-1997;00:00:01;0;3678,2;3671,2;3644,5;3681,4
11-06-1997;00:00:01;0;3675,7;3671,9;3662,9;3686,1
12-06-1997;00:00:01;0;3694,4;3737,2;3688,3;3739,3
13-06-1997;00:00:01;0;3754,3;3752,4;3732,2;3762,6
16-06-1997;00:00:01;0;3766,8;3750;3742,8;3775,2
17-06-1997;00:00:01;0;3754,5;3721,2;3704,5;3767,1
18-06-1997;00:00:01;0;3721,3;3730,6;3707,8;3734
19-06-1997;00:00:01;0;3739,9;3777,6;3739,9;3791,3
20-06-1997;00:00:01;0;3785,4;3788,5;3751,6;3801,4
23-06-1997;00:00:01;0;3773,2;3748,8;3739,2;3775,2
24-06-1997;00:00:01;0;3712,9;3761,1;3709,6;3775,1
25-06-1997;00:00:01;0;3782,6;3819,5;3771,1;3820,9
26-06-1997;00:00:01;0;3799,8;3820,2;3798,4;3836,9
27-06-1997;00:00:01;0;3826,4;3809,9;3785,9;3829,8
30-06-1997;00:00:01;0;3815,3;3766,9;3756,7;3826,1
01-07-1997;00:00:01;0;3782,7;3834,8;3782,6;3835,8
02-07-1997;00:00:01;0;3840,3;3867,5;3837;3870,8
03-07-1997;00:00:01;0;3882,5;3939,7;3870,6;3944,3
04-07-1997;00:00:01;0;3965,4;3946,7;3912,9;3965,6
07-07-1997;00:00:01;0;3956,3;4003,4;3940;4003,8
08-07-1997;00:00:01;0;3986,7;4030,1;3982,1;4030,5
09-07-1997;00:00:01;0;4050,4;4027;4008,8;4067,5
10-07-1997;00:00:01;0;4029,4;4000,7;3978,4;4032,8
11-07-1997;00:00:01;0;4018,2;4074,3;4018,2;4074,3
14-07-1997;00:00:01;0;4093,7;4142,2;4090,3;4151,5
15-07-1997;00:00:01;0;4127,6;4139,7;4108,8;4157,2
16-07-1997;00:00:01;0;4164,6;4223,7;4163,3;4234,9
17-07-1997;00:00:01;0;4250,3;4203,9;4182,4;4272,6
18-07-1997;00:00:01;0;4207,2;4131,9;4110,1;4209,3
21-07-1997;00:00:01;0;4183,8;4140;4086,6;4211,7
22-07-1997;00:00:01;0;4167,1;4297,6;4167,1;4301,9
23-07-1997;00:00:01;0;4359,1;4384,8;4355,6;4449,9
24-07-1997;00:00:01;0;4382,6;4320,5;4315,4;4449,3
25-07-1997;00:00:01;0;4365;4368,5;4307,4;4379,9
28-07-1997;00:00:01;0;4407,5;4400,3;4360,5;4423,7
29-07-1997;00:00:01;0;4395,6;4377,7;4347,8;4409,2
30-07-1997;00:00:01;0;4400;4458,7;4400;4463
31-07-1997;00:00:01;0;4463,9;4405,5;4393;4477,7
01-08-1997;00:00:01;0;4422,2;4337;4275,7;4432
04-08-1997;00:00:01;0;4354;4302,5;4279,7;4375,6
05-08-1997;00:00:01;0;4330,2;4325,9;4290,1;4371,2
06-08-1997;00:00:01;0;4318,6;4364,3;4300,3;4372
07-08-1997;00:00:01;0;4383,1;4428,1;4373,6;4460,2
08-08-1997;00:00:01;0;4378,5;4342,3;4309,7;4407,2
11-08-1997;00:00:01;0;4269,4;4333,2;4267,7;4352,2
12-08-1997;00:00:01;0;4351,8;4377,5;4347,3;4384,3
13-08-1997;00:00:01;0;4316,9;4237,1;4211,8;4338,9
14-08-1997;00:00:01;0;4269,7;4195,5;4175,4;4290,3
15-08-1997;00:00:01;0;4204,9;4077,6;4067,6;4228,2
18-08-1997;00:00:01;0;4017,4;4080,6;3965,3;4095,3
19-08-1997;00:00:01;0;4134,5;4190,5;4118,5;4191,2
20-08-1997;00:00:01;0;4242,2;4251,9;4206;4264,3
21-08-1997;00:00:01;0;4277,7;4204,8;4191,7;4279,9
22-08-1997;00:00:01;0;4155,4;4090,1;4031,5;4159,9
25-08-1997;00:00:01;0;4127;4076,8;4044,1;4146,2
26-08-1997;00:00:01;0;4050,6;3993,7;3910,3;4108,2
27-08-1997;00:00:01;0;3952,2;3992;3933;4037,8
28-08-1997;00:00:01;0;4019,6;3897,4;3853,1;4040,4
29-08-1997;00:00:01;0;3897,6;3919,8;3849,9;3920,4
01-09-1997;00:00:01;0;3942,5;4001,8;3934,1;4004,1
02-09-1997;00:00:01;0;4018,5;4127,3;4018,5;4130,6
03-09-1997;00:00:01;0;4166,6;4062,1;4054;4196,8
04-09-1997;00:00:01;0;4048,7;4093,4;4027,3;4098,5
05-09-1997;00:00:01;0;4099;4073,7;4069,9;4149,7
08-09-1997;00:00:01;0;4071,3;4131,3;4055,6;4133,1
09-09-1997;00:00:01;0;4120;4104,6;4067,2;4141,2
10-09-1997;00:00:01;0;4101,8;4028;4014,7;4126,4
11-09-1997;00:00:01;0;3969,2;3890,2;3888,4;3986,6
12-09-1997;00:00:01;0;3918,9;3796,6;3783,1;3957
15-09-1997;00:00:01;0;3848,6;3869,5;3796,9;3893,3
16-09-1997;00:00:01;0;3873,8;3995,7;3832;3996
17-09-1997;00:00:01;0;4026,9;3970,4;3968,3;4040,9
18-09-1997;00:00:01;0;3974,4;4004;3946,5;4010,6
19-09-1997;00:00:01;0;4012,3;3983,1;3955,9;4046,7
22-09-1997;00:00:01;0;4011,2;4096,9;4011,2;4102,8
23-09-1997;00:00:01;0;4107,7;4091,8;4082,6;4138,7
24-09-1997;00:00:01;0;4090,2;4151;4066,8;4156,3
25-09-1997;00:00:01;0;4130,7;4104,9;4102,5;4163,9
26-09-1997;00:00:01;0;4082,5;4135,1;4041,1;4137,9
29-09-1997;00:00:01;0;4126,6;4116,5;4085,5;4126,6
30-09-1997;00:00:01;0;4146,5;4154,9;4143;4173,9
01-10-1997;00:00:01;0;4154,6;4263;4147,3;4272,9
02-10-1997;00:00:01;0;4271,7;4266,2;4247,4;4285,1
06-10-1997;00:00:01;0;4281,9;4326,4;4266,3;4332,4
07-10-1997;00:00:01;0;4332;4311,1;4264;4349
